<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
PSB,20221024,6.8,6.8,6.8,6.8,400
PSN,20221024,14.3,14.3,14.3,14.3,100
PSP,20221024,7.1,7.1,7.1,7.1,900
PTN,20221024,14.3,14.3,14.3,14.3,100
PTO,20221024,17.5,17.5,17.5,17.5,1
PTT,20221024,8.9,8.9,7.7,8.9,12900
PTV,20221024,6.5,6.5,5.6,5.6,10300
PVM,20221024,12.5,12.5,11.3,11.3,12500
PVO,20221024,6.7,6.7,6.2,6.2,2500
PVP,20221024,10.8,10.8,10,10.2,272043
PWA,20221024,4.6,4.6,4,4.1,17400
PXI,20221024,3,3.1,2.7,2.7,131500
PXL,20221024,6.7,6.7,5.8,5.9,372520
PXS,20221024,4.6,4.7,4,4.1,324147
PXT,20221024,3.8,3.8,3.4,3.7,107700
QLT,20221024,15.1,15.1,15.1,15.1,1700
QNC,20221024,5.8,5.9,5.5,5.8,3300
QNS,20221024,43,43.5,42.5,43.1,234941
QSP,20221024,20.5,20.5,20.5,20.5,1100
QTP,20221024,14.1,14.4,13.7,13.9,199790
RAT,20221024,15.5,15.5,15.5,15.5,1
RGC,20221024,16,16.4,13.7,15,10400
RIC,20221024,7.7,8,7.4,7.4,5800
RTB,20221024,26,26,26,26,100
SAC,20221024,7.4,7.8,7.4,7.5,7600
SAS,20221024,25,25,23.8,24,10700
SBD,20221024,8,8,8,8,7
SBS,20221024,5.1,5.3,4.6,4.6,2079579
SCJ,20221024,2.9,3,2.9,2.9,1300
SCL,20221024,10.5,10.5,10,10,10942
SD2,20221024,4.8,4.8,4.8,4.8,8821
SD3,20221024,3.3,3.4,3.2,3.2,24459
SD7,20221024,4.5,4.5,4.5,4.5,100
SDD,20221024,3,3,2.5,2.5,43700
SDV,20221024,31.6,31.6,31.5,31.5,200
SEA,20221024,21.2,22,21.2,21.9,4000
SGB,20221024,12.3,14.9,11.7,11.9,100400
SGP,20221024,13.5,14.2,12.6,13.3,58500
SGS,20221024,13.8,13.8,13.8,13.8,200
SHC,20221024,9,9,9,9,500
SID,20221024,9,9,9,9,1300
SIG,20221024,9.2,9.2,7.1,7.1,11300
SIP,20221024,116,116,105.3,112,256472
SJG,20221024,11.8,15.4,11.8,14.6,4600
SKH,20221024,24.1,24.1,24.1,24.1,300
SKV,20221024,25.6,25.6,25,25,12600
SNC,20221024,14,14,14,14,1
