<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
BMP,20221021,60.9,60.9,58.6,59.8,69800
BRC,20221021,11.05,11.75,10.95,11.75,5100
BSI,20221021,21.7,21.7,20.2,20.2,441700
BTP,20221021,14.7,15.25,14.6,15.25,13700
BVH,20221021,50.9,50.9,47.95,48.05,911700
BWE,20221021,45.4,45.4,42.6,43.5,161100
C32,20221021,21.2,21.35,20.9,21.2,128100
C47,20221021,9.45,9.45,8.83,9,79400
CACB2204,20221021,0.02,0.03,0.01,0.03,72900
CACB2205,20221021,0.39,0.41,0.31,0.31,51700
CACB2206,20221021,0.36,0.36,0.24,0.24,213300
CACB2207,20221021,0.41,0.41,0.32,0.33,276600
CCI,20221021,27.45,28.85,27.35,28.85,600
CCL,20221021,6.71,6.71,6.22,6.22,54900
CDC,20221021,18.65,18.7,18.3,18.5,132900
CFPT2204,20221021,0.31,0.31,0.18,0.18,156500
CFPT2205,20221021,0.6,0.6,0.12,0.12,84800
CFPT2206,20221021,0.6,0.61,0.47,0.47,57400
CFPT2207,20221021,1.86,1.96,1.47,1.48,1687000
CFPT2208,20221021,1.19,1.19,0.95,0.95,51400
CFPT2209,20221021,0.79,0.79,0.63,0.63,224100
CFPT2210,20221021,1.25,1.25,1.06,1.06,37000
CFPT2211,20221021,0.78,0.78,0.59,0.59,206100
CHDB2206,20221021,0.04,0.05,0.03,0.05,10700
CHDB2207,20221021,0.26,0.26,0.24,0.24,8700
CHDB2210,20221021,0.23,0.23,0.18,0.18,13600
CHP,20221021,25.2,25.5,24.9,24.9,35100
CHPG2212,20221021,0.03,0.03,0.02,0.03,653600
CHPG2213,20221021,0.01,0.01,0.01,0.01,94300
CHPG2214,20221021,0.06,0.06,0.03,0.05,14900
CHPG2215,20221021,0.23,0.23,0.17,0.18,1711000
CHPG2216,20221021,0.73,0.73,0.5,0.51,689200
CHPG2217,20221021,0.24,0.24,0.14,0.14,92000
CHPG2218,20221021,0.04,0.07,0.04,0.04,386400
CHPG2219,20221021,0.21,0.21,0.16,0.17,203100
CHPG2220,20221021,0.13,0.13,0.08,0.08,777000
CHPG2221,20221021,0.2,0.2,0.13,0.14,2456900
CHPG2223,20221021,0.7,0.7,0.52,0.53,185800
CIG,20221021,5.07,5.27,4.91,4.91,113600
CII,20221021,17.6,17.65,16.4,16.4,6325700
CKDH2207,20221021,0.01,0.01,0.01,0.01,71500
CKDH2208,20221021,0.09,0.09,0.06,0.07,38600
CKDH2209,20221021,0.19,0.19,0.12,0.13,109100
CKDH2210,20221021,0.07,0.08,0.05,0.05,936400
CKDH2211,20221021,0.04,0.04,0.02,0.02,229200
CKDH2212,20221021,0.1,0.1,0.06,0.1,11300
CKDH2213,20221021,0.04,0.05,0.03,0.03,520300
CKG,20221021,24.9,25,23.2,23.4,875500
CLC,20221021,34.55,35.25,34.5,34.5,4600
CLL,20221021,25.4,25.4,24.5,25,10700
CMBB2204,20221021,0.01,0.01,0.01,0.01,27800
CMBB2205,20221021,0.01,0.01,0.01,0.01,29100
CMBB2207,20221021,0.17,0.17,0.17,0.17,800
CMBB2208,20221021,0.13,0.13,0.09,0.1,929100
CMBB2209,20221021,0.06,0.07,0.03,0.04,3687500
CMBB2210,20221021,0.24,0.24,0.17,0.17,177000
CMBB2211,20221021,0.29,0.29,0.21,0.22,456900
CMG,20221021,41,41,39.2,40.3,58500
CMSN2204,20221021,0.01,0.01,0.01,0.01,2600
CMSN2205,20221021,0.07,0.07,0.06,0.06,3200
CMSN2206,20221021,0.03,0.03,0.02,0.02,343100
CMSN2207,20221021,0.1,0.1,0.06,0.06,11500
CMSN2209,20221021,0.22,0.22,0.15,0.15,1031200
CMSN2210,20221021,0.15,0.16,0.09,0.13,20900
CMSN2212,20221021,0.19,0.19,0.15,0.15,417300
CMSN2213,20221021,0.36,0.36,0.23,0.23,21900
CMV,20221021,10.1,10.1,9.81,9.85,8500
CMWG2205,20221021,0.01,0.02,0.01,0.01,90600
CMWG2206,20221021,0.22,0.22,0.17,0.17,155100
CMWG2207,20221021,0.03,0.03,0.02,0.02,22000
CMWG2208,20221021,0.73,0.73,0.55,0.55,90900
CMWG2209,20221021,0.31,0.36,0.26,0.26,2800
CMWG2210,20221021,0.69,0.69,0.54,0.54,31100
CMWG2211,20221021,0.12,0.12,0.07,0.08,1043500
CMWG2212,20221021,0.37,0.37,0.25,0.25,822500
CMX,20221021,9.85,9.85,9.03,9.03,769800
CNG,20221021,30.9,30.9,28.5,28.55,395500
CNVL2208,20221021,0.6,0.6,0.58,0.58,2000
CNVL2210,20221021,0.37,0.37,0.37,0.37,1900
